Timestamp,Database,WorkloadType,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
2023-05-14 17:56:10,redis,a,10000.0,186.8555,128.0,7123.0,304.0,400.0
2023-05-14 18:25:33,redis,d,10000.0,213.8777,122.0,7539.0,335.0,546.0
2023-05-14 18:26:48,redis,d,100000.0,184.26279,85.0,10207.0,295.0,369.0
2023-05-14 18:36:28,redis,d,1000000.0,230.875255,86.0,25535.0,387.0,479.0
2023-05-14 19:15:40,mongodb,a,10000.0,304.771,151.0,130495.0,443.0,712.0
2023-05-14 19:17:29,mongodb,a,100000.0,253.08076,150.0,75583.0,358.0,543.0
2023-05-14 19:26:26,mongodb,a,1000000.0,423.951118,185.0,89983.0,668.0,1281.0
2023-05-14 19:37:41,mongodb,b,10000.0,435.9471,263.0,83903.0,605.0,922.0
2023-05-14 19:35:32,mongodb,b,100000.0,359.01111,168.0,106431.0,532.0,926.0
2023-05-14 19:34:07,mongodb,b,1000000.0,403.716876,198.0,157823.0,594.0,935.0
2023-05-14 19:38:24,mongodb,c,10000.0,397.6583,199.0,91071.0,583.0,857.0
2023-05-14 14:03:45,redis,a,100000.0,283.42841,110.0,9151.0,426.0,514.0
2023-05-14 19:39:33,mongodb,c,100000.0,358.49958,169.0,83391.0,525.0,978.0
2023-05-14 19:47:20,mongodb,c,1000000.0,346.787212,148.0,283391.0,531.0,723.0
2023-05-14 20:50:40,mongodb,d,10000.0,603.1977,313.0,110591.0,972.0,1610.0
2023-05-14 20:49:28,mongodb,d,100000.0,253.04545,143.0,87423.0,356.0,488.0
2023-05-14 20:44:20,mongodb,d,1000000.0,353.996263,140.0,158079.0,526.0,779.0
2023-05-14 21:34:56,cassandra,a,10000.0,904.134,276.0,57055.0,1970.0,4651.0
2023-05-14 23:14:30,cassandra,a,100000.0,589.604,172.0,109183.0,1111.0,2117.0
2023-05-21 13:12:18,cassandra,a,1000000.0,621.30634,233.0,1199103.0,887.0,1556.0
2023-05-21 16:36:45,cassandra,b,10000.0,500.8936,205.0,49503.0,760.0,1095.0
2023-05-21 16:35:49,cassandra,b,100000.0,435.58492,180.0,76351.0,610.0,797.0
2023-05-14 11:40:10,redis,a,1000000.0,231.787162,89.0,73087.0,411.0,658.0
2023-05-21 16:33:09,cassandra,b,1000000.0,518.790701,183.0,100735.0,709.0,847.0
2023-05-21 16:37:23,cassandra,c,10000.0,479.5988,211.0,14255.0,699.0,1115.0
2023-05-21 16:38:39,cassandra,c,100000.0,378.65359,169.0,44927.0,520.0,699.0
2023-05-21 16:48:55,cassandra,c,1000000.0,569.644362,166.0,304639.0,838.0,1225.0
2023-05-21 17:10:00,cassandra,d,10000.0,494.8167,173.0,16159.0,864.0,1467.0
2023-05-21 17:11:06,cassandra,d,100000.0,396.74992,177.0,52287.0,562.0,740.0
2023-05-21 17:22:51,cassandra,d,1000000.0,528.635365,206.0,100479.0,770.0,948.0
2023-05-14 18:45:09,redis,e,10000.0,186.4364,127.0,6939.0,318.0,427.0
2023-05-14 18:44:27,redis,e,100000.0,286.16162,129.0,34751.0,449.0,530.0
2023-05-14 18:42:52,redis,e,1000000.0,317.941751,130.0,35551.0,481.0,631.0
2023-05-14 17:57:55,redis,b,10000.0,189.1445,123.0,11399.0,308.0,421.0
2023-05-14 18:56:46,redis,f,10000.0,249.5499,133.0,7599.0,384.0,498.0
2023-05-14 18:56:04,redis,f,100000.0,302.02984,169.0,40415.0,451.0,547.0
2023-05-14 18:53:15,redis,f,1000000.0,342.020588,108.0,26479.0,518.0,797.0
2023-05-14 20:51:30,mongodb,e,10000.0,621.7864,303.0,139391.0,1187.0,2024.0
2023-05-14 20:52:41,mongodb,e,100000.0,433.62079,261.0,98559.0,591.0,836.0
2023-05-14 19:57:05,mongodb,e,1000000.0,403.605633,152.0,77823.0,602.0,830.0
2023-05-14 20:53:31,mongodb,f,10000.0,565.2868,305.0,82495.0,847.0,1245.0
2023-05-14 20:55:04,mongodb,f,100000.0,425.76455,246.0,67071.0,583.0,796.0
2023-05-14 21:03:12,mongodb,f,1000000.0,421.217629,192.0,87359.0,634.0,893.0
2023-05-21 17:09:27,cassandra,e,10000.0,470.1089,210.0,38815.0,687.0,1059.0
2023-05-14 17:59:56,redis,b,100000.0,176.13928,89.0,6023.0,292.0,351.0
2023-05-21 17:04:39,cassandra,e,100000.0,418.39442,202.0,67647.0,602.0,834.0
2023-05-21 16:58:33,cassandra,e,1000000.0,517.49199,178.0,86783.0,732.0,1043.0
2023-05-21 17:41:15,cassandra,f,10000.0,518.4956,237.0,13191.0,816.0,1500.0
2023-05-21 17:38:41,cassandra,f,100000.0,404.38618,172.0,59359.0,565.0,726.0
2023-05-21 17:32:13,cassandra,f,1000000.0,517.794923,180.0,114623.0,756.0,1019.0
2023-05-14 18:05:36,redis,b,1000000.0,250.313417,81.0,40095.0,400.0,527.0
2023-05-14 18:24:00,redis,c,10000.0,182.3569,127.0,5915.0,302.0,412.0
2023-05-14 18:23:07,redis,c,100000.0,180.43721,86.0,28895.0,295.0,364.0
2023-05-14 18:12:42,redis,c,1000000.0,267.270981,112.0,31135.0,416.0,612.0
